,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_eta,param_lamda,param_threshold,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.6184260845184326,0.0010352134704589844,0.8322840207610331,0.8330364543398053,0.5,0.01,0.4,"{'eta': 0.5, 'lamda': 0.01, 'threshold': 0.4}",1,0.8292795282845035,0.834569493711706,0.833978256863829,0.8314829317731608,0.8335943978623422,0.8330569375345495,0.07099554130671794,0.0005541133312434115,0.0021303175882599395,0.0012601668728305065
1,0.5985598564147949,0.0005369186401367188,0.8301649212247781,0.8306409547594251,0.4,0.01,0.4,"{'eta': 0.4, 'lamda': 0.01, 'threshold': 0.4}",2,0.8271604938271605,0.8319896807481458,0.8323198820711258,0.8295480720504906,0.8310144660462545,0.8303851114796389,0.02420283049299317,3.461150249101073e-05,0.0021903228187292747,0.001013066334114802
2,0.9787880579630533,0.0037099520365397134,0.8293664199502472,0.8305795377151485,0.5,0.01,0.5,"{'eta': 0.5, 'lamda': 0.01, 'threshold': 0.5}",3,0.826239174497881,0.8322660892799558,0.8305693753454948,0.8295480720504906,0.831290887312264,0.8299244518149991,0.03213876952536246,0.0040631589828262924,0.0022308785815052063,0.0012024301968231806
3,0.5927432378133138,0.0005689462025960287,0.8278615521636313,0.8287061374801755,0.4,0.01,0.5,"{'eta': 0.4, 'lamda': 0.01, 'threshold': 0.5}",4,0.8255021190344574,0.8303312295572857,0.8299244518149991,0.8281660293914406,0.8281581129641574,0.8276211534918002,0.03617048167284148,4.496717388926639e-05,0.0018175738621345973,0.0011704459636728047
4,0.8118993441263834,0.0007721583048502604,0.8261109916771598,0.826602396094637,0.5,0.01,0.6,"{'eta': 0.5, 'lamda': 0.01, 'threshold': 0.6}",5,0.8240280081076101,0.8278435527709955,0.8256863829003133,0.8265997143778505,0.8286188150741731,0.8253639211350654,0.20025561059093042,0.00013322661999595121,0.00189807304415499,0.0010123071523933398
5,0.525609016418457,0.004165172576904297,0.8249439513528455,0.8257885293583135,0.3,0.01,0.4,"{'eta': 0.3, 'lamda': 0.01, 'threshold': 0.4}",6,0.8226460291136908,0.8276132123278206,0.8288188686198636,0.8245727184779104,0.8233668110199945,0.8251796572692095,0.037840413266874526,0.004764957413688601,0.0027557982869800914,0.0013138225726235823
6,0.657995859781901,0.0006151199340820312,0.8246982586529897,0.8252203654612229,0.4,0.01,0.6,"{'eta': 0.4, 'lamda': 0.01, 'threshold': 0.6}",7,0.8220932375161231,0.8265075782005805,0.8253178551686015,0.8245727184779104,0.8266838662121073,0.8245807997051778,0.012981624171893165,1.3391117903280605e-05,0.0019246341971359785,0.0009102028359407714
7,0.5434528986612955,0.0006604194641113281,0.8239304689659408,0.8241608072039116,0.3,0.01,0.5,"{'eta': 0.3, 'lamda': 0.01, 'threshold': 0.5}",8,0.8224617652478349,0.8257244206937855,0.8273447576930164,0.8226839268438753,0.8219847046899476,0.8240740740740741,0.04147875059160536,5.8052843318993304e-05,0.002422164903347756,0.0012427905937027485
8,0.5713575681050619,0.0006783803304036459,0.8213506956174564,0.8221952545216907,0.3,0.01,0.6,"{'eta': 0.3, 'lamda': 0.01, 'threshold': 0.6}",9,0.8205269946563479,0.8229142672870503,0.8227381610466188,0.8208412032984752,0.8207868792039068,0.8228302929795467,0.07400601344819216,7.731292002730003e-05,0.0009868287544533704,0.000958072355443913
9,0.5633313655853271,0.0005196730295817057,0.814563434783944,0.8151623125390483,0.2,0.01,0.5,"{'eta': 0.2, 'lamda': 0.01, 'threshold': 0.5}",10,0.8135249677538234,0.81655687105542,0.8165653215404459,0.8138849219145898,0.8135999262876624,0.8150451446471347,0.16640055671481466,4.1606300174917394e-05,0.0014159110326136851,0.0010939604773382813
10,0.5423949559529623,0.000724633534749349,0.8141948957341605,0.8154080139635006,0.2,0.01,0.4,"{'eta': 0.2, 'lamda': 0.01, 'threshold': 0.4}",11,0.8126957803574719,0.8172939604735799,0.8171181131380136,0.8142073985350348,0.8127706624896343,0.8147226828818869,0.060805445926395786,0.00023893065561744132,0.002067300502316208,0.0013500555960621868
11,0.6291235287984213,0.0005287329355875651,0.8129971438223642,0.8138417138051076,0.2,0.01,0.6,"{'eta': 0.2, 'lamda': 0.01, 'threshold': 0.6}",12,0.812511516491616,0.8154973050168149,0.8138934954855352,0.8122725388123647,0.812586381645628,0.8137552975861434,0.01970171475124614,7.51151808091724e-05,0.0006345673929434761,0.001317922630636599
12,0.6269015471140543,0.0005365212758382162,0.7971192530941924,0.7975799529844045,0.1,0.1,0.4,"{'eta': 0.1, 'lamda': 0.1, 'threshold': 0.4}",13,0.7974940114243597,0.798820656930944,0.795098581168233,0.7980374994241489,0.7987653183451581,0.7958817025981205,0.07082220158961863,0.00022337860105964662,0.0015202031589055063,0.0012426784783945584
13,0.9444181124369303,0.0007022221883138021,0.7925125149718989,0.7930499872263695,0.5,0.1,0.4,"{'eta': 0.5, 'lamda': 0.1, 'threshold': 0.4}",14,0.7928874147779621,0.7941217118901737,0.7902155887230514,0.7932464182061086,0.7944347185110108,0.7917818315828267,0.04537271561258329,9.165581170046967e-05,0.0017427206602929077,0.0009652974707410084
