,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_eta,param_gamma,param_lamda,param_threshold,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.3774831295013428,0.0006616115570068359,0.8426031141549707,0.8434630385306437,0.05,0.8,0.01,0.5,"{'eta': 0.05, 'gamma': 0.8, 'lamda': 0.01, 'threshold': 0.5}",1,0.8422701308273448,0.8429999539319114,0.8422701308273448,0.8439213157046115,0.8432691421726712,0.8434678459554081,0.017599047176580222,0.00015373851650753154,0.00047093123237476175,0.00037615972896976263
1,0.5880700747172037,0.0006734530131022135,0.8422038635177053,0.8428027377488928,0.05,0.95,0.01,0.5,"{'eta': 0.05, 'gamma': 0.95, 'lamda': 0.01, 'threshold': 0.5}",2,0.841809471162705,0.8422628645137513,0.841809471162705,0.8432302943750865,0.8429927209066618,0.8429150543578404,0.08237479792447745,2.4346209317649226e-05,0.0005577807126370657,0.0004028576254996798
2,0.5005309581756592,0.0007365544637044271,0.840975400018427,0.8417892617280233,0.05,0.8,0.01,0.6,"{'eta': 0.05, 'gamma': 0.8, 'lamda': 0.01, 'threshold': 0.6}",3,0.8395061728395061,0.8416179112728613,0.8408881518334255,0.8422628645137513,0.8425320187966461,0.8414870093974571,0.1623540474444479,0.00019867629996272535,0.001236826647284618,0.0003391248779167892
3,0.5148641268412272,0.0005765755971272787,0.8401461871564141,0.8406682956225099,0.05,0.95,0.01,0.6,"{'eta': 0.05, 'gamma': 0.95, 'lamda': 0.01, 'threshold': 0.6}",4,0.8376635341809471,0.8407426175887963,0.8406117560346417,0.8413415027410514,0.8421634571086336,0.839920766537682,0.12218937778655665,8.619688059511987e-05,0.0018663372536189449,0.000582389134454277
4,0.4406473636627197,0.0007723967234293619,0.8321611744111053,0.8322229278582363,0.05,0.9,0.01,0.5,"{'eta': 0.05, 'gamma': 0.9, 'lamda': 0.01, 'threshold': 0.5}",5,0.8419937350285609,0.8426314092228314,0.841901603095633,0.8433224305523565,0.812586381645628,0.8107149437995209,0.009478417690088047,0.00013005135547992558,0.013840882177540993,0.01521105762971858
5,0.960840622584025,0.025344689687093098,0.8285679186757163,0.8295967560686105,0.01,0.8,0.01,0.5,"{'eta': 0.01, 'gamma': 0.8, 'lamda': 0.01, 'threshold': 0.5}",6,0.8256863829003133,0.8282120974800756,0.8275290215588723,0.8309301147095407,0.8324887127983046,0.8296480560162153,0.08445051367768128,0.017695641792951494,0.0028725439430166816,0.0011102186506526353
6,0.46350526809692383,0.0019631385803222656,0.8279843985135592,0.8287832868856592,0.05,0.9,0.01,0.6,"{'eta': 0.05, 'gamma': 0.9, 'lamda': 0.01, 'threshold': 0.6}",7,0.8384005896443707,0.8408347537660663,0.8407960199004976,0.8419403878933064,0.8047544457753617,0.8035747189976046,0.08692907889375606,0.0019546224583116317,0.016454387577658568,0.017830863279359555
7,0.9539175828297933,0.0007091363271077474,0.825281778815147,0.8258499379139059,0.01,0.9,0.01,0.5,"{'eta': 0.01, 'gamma': 0.9, 'lamda': 0.01, 'threshold': 0.5}",8,0.8247650635710337,0.8265536462892155,0.8228302929795467,0.8248030589210854,0.8282502533861605,0.826193108531417,0.03878419096285598,2.7498757884128146e-05,0.002242637602090674,0.0007547465746444607
8,0.8867858250935873,0.0007522106170654297,0.8242682964282424,0.8249592910298572,0.01,0.8,0.01,0.6,"{'eta': 0.01, 'gamma': 0.8, 'lamda': 0.01, 'threshold': 0.6}",9,0.8208955223880597,0.8231906758188603,0.8235673484429703,0.8256783526051504,0.8283423938081637,0.8260088446655611,0.08328602286897915,0.0001625624290049894,0.0030802893370160365,0.0012578569271916608
9,0.8277010122934977,0.0006604989369710287,0.8232548140413378,0.8241761894068992,0.01,0.95,0.01,0.5,"{'eta': 0.01, 'gamma': 0.95, 'lamda': 0.01, 'threshold': 0.5}",10,0.8233830845771144,0.8260008292255955,0.8220932375161231,0.8241581056801953,0.8242882152400258,0.822369633314907,0.004882617889802308,0.000323479941961592,0.000900667852214287,0.001482484671383114
10,0.7546157042185465,0.0006378491719563802,0.8199072510058045,0.8202757961015474,0.01,0.9,0.01,0.6,"{'eta': 0.01, 'gamma': 0.9, 'lamda': 0.01, 'threshold': 0.6}",11,0.8185922240648609,0.8211636799189203,0.818500092131933,0.8197816372598701,0.8226296876439695,0.8198820711258522,0.06749587033797068,0.00010750207690092057,0.0019253321682327763,0.000629166112259352
11,0.6586907704671224,0.0007162888844807943,0.8181566905193329,0.8185406227689705,0.01,0.95,0.01,0.6,"{'eta': 0.01, 'gamma': 0.95, 'lamda': 0.01, 'threshold': 0.6}",12,0.8173945089367975,0.8207029990325702,0.8174866408697254,0.818814207398535,0.8195890537178661,0.8161046618758062,0.10234353454244514,0.00011546457505003328,0.0010134852802653946,0.0018872047343393822
12,0.365015188852946,0.0008081595102945963,0.8135806639845213,0.8137188832535062,0.05,0.8,0.1,0.5,"{'eta': 0.05, 'gamma': 0.8, 'lamda': 0.1, 'threshold': 0.5}",13,0.810392482034273,0.8149444879531949,0.8140777593513912,0.8136085133827797,0.8162719985257533,0.8126036484245439,0.031135939945576147,1.6324661696045218e-05,0.002425885708776289,0.0009588251686297545
