,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_Adam_beta1,param_Adam_beta2,param_eta,param_lamda,param_threshold,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.8870530923207601,0.0007797876993815104,0.8300113632873684,0.8311169973344429,0.95,0.999,0.05,0.01,0.5,"{'Adam_beta1': 0.95, 'Adam_beta2': 0.999, 'eta': 0.05, 'lamda': 0.01, 'threshold': 0.5}",1,0.8273447576930164,0.8332795872299259,0.8305693753454948,0.8300548210254757,0.8321201511102921,0.8300165837479271,0.03980067601753746,0.00011755338931474321,0.001989062068191506,0.0015292616550441384
1,0.47636691729227704,0.0007061163584391276,0.8296735358250668,0.8305948965742549,0.9,0.999,0.05,0.01,0.5,"{'Adam_beta1': 0.9, 'Adam_beta2': 0.999, 'eta': 0.05, 'lamda': 0.01, 'threshold': 0.5}",2,0.8274368896259443,0.8321739531026858,0.830200847613783,0.8298705486709357,0.8313830277342671,0.8297401879491432,0.03630749134568849,1.574325055711116e-05,0.0016535808826462339,0.0011178291817720717
2,0.8541598320007324,0.0005989869435628256,0.8295814010626209,0.8304413454748794,0.9,0.99,0.05,0.01,0.5,"{'Adam_beta1': 0.9, 'Adam_beta2': 0.99, 'eta': 0.05, 'lamda': 0.01, 'threshold': 0.5}",3,0.8278054173576562,0.8322660892799558,0.8300165837479271,0.8299166167595707,0.8309223256242514,0.8291413303851115,0.12594796975678033,7.568987814728668e-05,0.0013091438691539142,0.001328541733437893
3,0.824676513671875,0.0007260640462239584,0.8294585547126931,0.8296582049454525,0.95,0.99,0.05,0.01,0.5,"{'Adam_beta1': 0.95, 'Adam_beta2': 0.99, 'eta': 0.05, 'lamda': 0.01, 'threshold': 0.5}",4,0.8276211534918002,0.8316211360390657,0.830108715680855,0.8293177316073157,0.830645904358242,0.8280357471899761,0.028883372807188078,0.0001868869480040151,0.0013176471180636085,0.0014833958496819886
4,0.4177591800689697,0.0007693767547607422,0.8244525659531341,0.8250207540545061,0.9,0.999,0.05,0.01,0.6,"{'Adam_beta1': 0.9, 'Adam_beta2': 0.999, 'eta': 0.05, 'lamda': 0.01, 'threshold': 0.6}",5,0.8231066887783306,0.8272446676187405,0.8247650635710337,0.8243423780347354,0.8254860407260666,0.8234752165100424,0.03268981092221629,8.621329226634101e-05,0.0009961765677719663,0.0016119007275814151
5,0.8747012615203857,0.00164031982421875,0.8243297196032063,0.8249286242437494,0.95,0.999,0.05,0.01,0.6,"{'Adam_beta1': 0.95, 'Adam_beta2': 0.999, 'eta': 0.05, 'lamda': 0.01, 'threshold': 0.6}",6,0.8226460291136908,0.8271064633528356,0.8245807997051778,0.8246187865665454,0.8257624619920759,0.8230606228118666,0.006140064173785772,0.0009535336986822977,0.0012845970245190976,0.0016661744527305994
6,0.7238491376241049,0.0014913876851399739,0.8242375848407604,0.8248979107698785,0.9,0.99,0.05,0.01,0.6,"{'Adam_beta1': 0.9, 'Adam_beta2': 0.99, 'eta': 0.05, 'lamda': 0.01, 'threshold': 0.6}",7,0.8224617652478349,0.8271525314414705,0.8248571955039616,0.8243884461233704,0.8253939003040635,0.8231527547447945,0.027420748473122616,0.001327057391404628,0.0012746953316020923,0.0016721680687756266
7,0.8247190316518148,0.0008284250895182291,0.8235926415036393,0.8243758135466422,0.95,0.99,0.05,0.01,0.6,"{'Adam_beta1': 0.95, 'Adam_beta2': 0.99, 'eta': 0.05, 'lamda': 0.01, 'threshold': 0.6}",8,0.8214483139856275,0.8262311696687705,0.8238437442417542,0.8242502418574654,0.8254860407260666,0.8226460291136908,0.01492657752707047,0.0002751340990952133,0.0016579180375857012,0.0014663183798801264
8,0.5128208001454672,0.0017688274383544922,0.8211971376800467,0.821842097674721,0.95,0.99,0.01,0.01,0.5,"{'Adam_beta1': 0.95, 'Adam_beta2': 0.99, 'eta': 0.01, 'lamda': 0.01, 'threshold': 0.5}",9,0.8196056753270684,0.8234670843506703,0.8217247097844113,0.8213018841848252,0.8222611259559569,0.8207573244886678,0.06418297827613469,0.0012771824477526854,0.0011464688678724305,0.0011703482639593744
9,0.7675451437632242,0.0010991891225179036,0.818125978931851,0.8195233662164302,0.95,0.99,0.01,0.01,0.6,"{'Adam_beta1': 0.95, 'Adam_beta2': 0.99, 'eta': 0.01, 'lamda': 0.01, 'threshold': 0.6}",10,0.8182236963331491,0.8205647947666652,0.8182236963331491,0.8191366840189801,0.8179305261218097,0.8188686198636448,0.25245085762854114,0.0004212573308267157,0.00013819964064221358,0.0007444884896256513
10,0.8074283599853516,0.006120761235555013,0.8173274776573201,0.8180645745348301,0.95,0.999,0.01,0.01,0.5,"{'Adam_beta1': 0.95, 'Adam_beta2': 0.999, 'eta': 0.01, 'lamda': 0.01, 'threshold': 0.5}",11,0.8155518702782384,0.8195512968166951,0.8169338492721577,0.817800709448565,0.8194969132958629,0.8168417173392298,0.09572699614589154,0.00510506239142691,0.0016344202193595387,0.001121806229253377
11,0.7712518374125162,0.0008108615875244141,0.8156997635207764,0.8169743141218935,0.95,0.999,0.01,0.01,0.6,"{'Adam_beta1': 0.95, 'Adam_beta2': 0.999, 'eta': 0.01, 'lamda': 0.01, 'threshold': 0.6}",12,0.8143541551501751,0.81858386695536,0.8151833425465266,0.81664900723269,0.8175619644337971,0.8156900681776303,0.023038989124990618,4.166030677120326e-05,0.0013595336879627272,0.0012035741967489591
