,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_eta,param_lamda,param_threshold,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.48085705439249676,0.001767555872599284,0.8419274592303676,0.842265297936528,0.5,0.01,0.5,"{'eta': 0.5, 'lamda': 0.01, 'threshold': 0.5}",1,0.8412566795651373,0.8424471368682914,0.841809471162705,0.8428156815773714,0.8427162996406524,0.8415330753639212,0.0160061848077796,0.0006101881349006005,0.0006016953162035869,0.0005391775975340739
1,0.49138760566711426,0.0013417402903238933,0.8406375725561255,0.8405147388640115,0.4,0.01,0.5,"{'eta': 0.4, 'lamda': 0.01, 'threshold': 0.5}",2,0.8394140409065782,0.8411572303865114,0.8405196241017137,0.8406965495001613,0.8419791762646274,0.839690436705362,0.035723159255044844,0.0002727430969786055,0.001050520171758915,0.0006124607504854327
2,0.4754632314046224,0.0012049674987792969,0.8383649150824606,0.8394859209614038,0.5,0.01,0.4,"{'eta': 0.5, 'lamda': 0.01, 'threshold': 0.4}",3,0.8348995761931085,0.8415257750955913,0.8381241938455869,0.8395909153729212,0.8420713166866305,0.8373410724156993,0.019279754439519518,0.00033015702328456436,0.002932772293116349,0.0017100101363464182
3,0.4639301300048828,0.0009612242380777994,0.8369521820582906,0.8374589434536127,0.3,0.01,0.5,"{'eta': 0.3, 'lamda': 0.01, 'threshold': 0.5}",4,0.8351759719918924,0.8388538259547612,0.8365579509858116,0.837379647118441,0.8391228231825302,0.8361433572876359,0.019882164378970796,0.00021198726516897693,0.0016352202184014384,0.0011079639074884982
4,0.4788350264231364,0.0010615984598795574,0.8363993734836154,0.8368754221121963,0.5,0.01,0.6,"{'eta': 0.5, 'lamda': 0.01, 'threshold': 0.6}",5,0.8348074442601806,0.8377942599161561,0.8366500829187397,0.837195374763901,0.8377407168524832,0.8356366316565321,0.01348674846369863,0.00012856124835230196,0.0012105460413474609,0.0009094383619141333
5,0.45164020856221515,0.0013071695963541667,0.8362151039587237,0.8376278682672919,0.4,0.01,0.4,"{'eta': 0.4, 'lamda': 0.01, 'threshold': 0.4}",6,0.8321356182052699,0.8395909153729212,0.8369264787175235,0.8377021237388861,0.8395835252925459,0.8355905656900682,0.02667095945229432,0.0002763122416160766,0.003081901473063464,0.0016339797637612307
6,0.48010484377543133,0.0014642874399820964,0.8351401983968552,0.8352477063243077,0.4,0.01,0.6,"{'eta': 0.4, 'lamda': 0.01, 'threshold': 0.6}",7,0.8341625207296849,0.835721195927581,0.8344389165284688,0.835905468282121,0.8368193126324519,0.8341164547632209,0.024236277907983182,0.0008929064990312853,0.0011926085943020097,0.0008034453501463732
7,0.4651218255360921,0.001363197962443034,0.8341574275974325,0.8345106225652703,0.4,0.1,0.4,"{'eta': 0.4, 'lamda': 0.1, 'threshold': 0.4}",8,0.8288188686198636,0.837011102409361,0.8376635341809471,0.8327728382549409,0.8359900488344237,0.8337479270315091,0.011831995546732584,0.00030107350735563007,0.003836341245600704,0.0018123647753833033
8,0.4635598659515381,0.0010824998219807942,0.8338503117226129,0.8344491991544807,0.5,0.1,0.4,"{'eta': 0.5, 'lamda': 0.1, 'threshold': 0.4}",9,0.8285424728210798,0.8368728981434561,0.8372950064492353,0.8327728382549409,0.8357136275684143,0.8337018610650452,0.0017163606739666326,3.247767097949007e-05,0.0038084134015401107,0.001755279358068831
9,0.4639485677083333,0.0011405150095621746,0.8337581769601671,0.8343570665141624,0.3,0.1,0.4,"{'eta': 0.3, 'lamda': 0.1, 'threshold': 0.4}",10,0.8285424728210798,0.8367346938775511,0.8367422148516676,0.8328649744322109,0.8359900488344237,0.8334715312327252,0.0035103263913128595,0.00017036786578610935,0.0037009056026318303,0.0016993747276402417
10,0.48057325681050617,0.0012565453847249348,0.8335124842603114,0.8343263601141953,0.2,0.1,0.4,"{'eta': 0.2, 'lamda': 0.1, 'threshold': 0.4}",11,0.8282660770222959,0.8367807619661861,0.8361894232540998,0.8330953148753859,0.8360821892564269,0.8331030035010134,0.006681577432810075,0.00017004113052320448,0.003710113873324363,0.0017355270317751794
11,0.4914260705312093,0.0012211004892985027,0.8322533091735512,0.8323608088467549,0.3,0.01,0.6,"{'eta': 0.3, 'lamda': 0.01, 'threshold': 0.6}",12,0.8317670904735581,0.8328189063435758,0.832043486272342,0.8324964297231309,0.8329494149083203,0.8317670904735581,0.01835130561881989,0.00016901364354163204,0.0005049674303837567,0.0004399802440163237
12,0.4903721809387207,0.0012578964233398438,0.8320076164736955,0.8316390853616048,0.1,0.1,0.4,"{'eta': 0.1, 'lamda': 0.1, 'threshold': 0.4}",13,0.8290952644186476,0.8326807020776709,0.8337018610650452,0.8311143870640807,0.8332258361743297,0.8311221669430625,0.015781391152977192,2.9840127490482854e-05,0.00206854022256799,0.0007365410914178982
13,0.46909666061401367,0.0009410381317138672,0.8314240963115384,0.8336507209876577,0.3,0.01,0.4,"{'eta': 0.3, 'lamda': 0.01, 'threshold': 0.4}",14,0.8277132854247282,0.835721195927581,0.8318592224064861,0.8338324042935459,0.8347000829263799,0.8313985627418463,0.011801816387615032,0.0001827440693808885,0.002868873761298011,0.001769377674463068
