,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_Adam_beta1,param_Adam_beta2,param_eta,param_lamda,param_threshold,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.4023878574371338,0.002705653508504232,0.8440772703541046,0.844783647168049,0.95,0.99,0.05,0.01,0.5,"{'Adam_beta1': 0.95, 'Adam_beta2': 0.99, 'eta': 0.05, 'lamda': 0.01, 'threshold': 0.5}",1,0.8430071862907684,0.8449808817432165,0.843652109821264,0.8452572902750265,0.8455726527227495,0.8441127694859039,0.03606843462487201,0.0022109856109520758,0.00108963498106389,0.00048761874958114584
1,0.35713815689086914,0.0012292861938476562,0.8438622892417309,0.8445379563544518,0.9,0.99,0.05,0.01,0.5,"{'Adam_beta1': 0.9, 'Adam_beta2': 0.99, 'eta': 0.05, 'lamda': 0.01, 'threshold': 0.5}",2,0.8425465266261286,0.8448887455659465,0.8443891652846877,0.8449808817432165,0.8446512485027182,0.843744241754192,0.0033447999732529763,0.0003370763748826061,0.0009365379155583324,0.0005625000259493157
2,0.4008849461873372,0.0012811819712320964,0.8436780197168392,0.8439083633874486,0.95,0.999,0.05,0.01,0.5,"{'Adam_beta1': 0.95, 'Adam_beta2': 0.999, 'eta': 0.05, 'lamda': 0.01, 'threshold': 0.5}",3,0.8429150543578404,0.8444741327682315,0.84383637368712,0.8437831114387064,0.8442826868147056,0.8434678459554081,0.027498484603097464,7.213237995701711e-05,0.0005694472783115971,0.00042025335645166245
3,0.36028623580932617,0.0011759599049886067,0.8436780197168392,0.8446300882873796,0.9,0.999,0.05,0.01,0.5,"{'Adam_beta1': 0.9, 'Adam_beta2': 0.999, 'eta': 0.05, 'lamda': 0.01, 'threshold': 0.5}",3,0.8430071862907684,0.8450269498318516,0.843744241754192,0.8448426774773115,0.8442826868147056,0.8440206375529758,0.009144182814059139,0.00028324851898415475,0.0005228182095647479,0.0004374636925208085
4,0.3577430248260498,0.001170794169108073,0.8380270876201591,0.8384417159040763,0.95,0.99,0.05,0.01,0.6,"{'Adam_beta1': 0.95, 'Adam_beta2': 0.99, 'eta': 0.05, 'lamda': 0.01, 'threshold': 0.6}",5,0.8368343467845956,0.8399594600820013,0.8375714022480192,0.8383470769797762,0.839675665714549,0.8370186106504515,0.012132264410457833,0.00013635741035525302,0.0012038788317330854,0.0012024603220775418
5,0.36347023646036786,0.0011699994405110676,0.8376585485703756,0.8379042633586854,0.9,0.99,0.05,0.01,0.6,"{'Adam_beta1': 0.9, 'Adam_beta2': 0.99, 'eta': 0.05, 'lamda': 0.01, 'threshold': 0.6}",6,0.8361894232540998,0.8391302344865712,0.8370186106504515,0.8381167365366011,0.8397678061365521,0.8364658190528838,0.006089039069676245,7.446662084320431e-05,0.0015293378534282827,0.0010980698336378518
6,0.3942419687906901,0.0012349287668863933,0.8376278369828937,0.8379963903398808,0.95,0.999,0.05,0.01,0.6,"{'Adam_beta1': 0.95, 'Adam_beta2': 0.999, 'eta': 0.05, 'lamda': 0.01, 'threshold': 0.6}",7,0.8363736871199557,0.8391302344865712,0.8376635341809471,0.8377942599161561,0.8388464019165208,0.8370646766169154,0.008969030223738293,0.0003860276012310953,0.0010097893846343685,0.0008552874212296978
7,0.3534398873647054,0.0013283093770345051,0.837382144283038,0.8377814130001543,0.9,0.999,0.05,0.01,0.6,"{'Adam_beta1': 0.9, 'Adam_beta2': 0.999, 'eta': 0.05, 'lamda': 0.01, 'threshold': 0.6}",8,0.8357287635894601,0.8385774174229511,0.8363736871199557,0.8381628046252362,0.8400442274025616,0.8366040169522757,0.0028481653257416964,0.0001792914408024228,0.00190061569012592,0.0008495771627413264
8,0.39163780212402344,0.0015904903411865234,0.8307177297994534,0.8311016596970467,0.95,0.99,0.01,0.01,0.5,"{'Adam_beta1': 0.95, 'Adam_beta2': 0.99, 'eta': 0.01, 'lamda': 0.01, 'threshold': 0.5}",9,0.8254099871015294,0.8340166766480859,0.8312142988759904,0.8304694338231907,0.835529346724408,0.8288188686198636,0.03671800152119618,0.00023683234880369694,0.00414607531540959,0.0021685762212786262
9,0.3590708573659261,0.0012462933858235676,0.827339455176438,0.827585158641636,0.9,0.99,0.05,0.1,0.5,"{'Adam_beta1': 0.9, 'Adam_beta2': 0.99, 'eta': 0.05, 'lamda': 0.1, 'threshold': 0.5}",10,0.8268840980283766,0.8282120974800756,0.8276211534918002,0.8276592804164555,0.8275131300101355,0.8268840980283766,0.00680451917820795,0.00013033994806620094,0.00032499947356961394,0.0005446810467634812
10,0.36242326100667316,0.0011856555938720703,0.827339455176438,0.8274776678496015,0.9,0.999,0.05,0.1,0.5,"{'Adam_beta1': 0.9, 'Adam_beta2': 0.999, 'eta': 0.05, 'lamda': 0.1, 'threshold': 0.5}",10,0.8270683618942325,0.8281199613028056,0.8276211534918002,0.8275210761505506,0.8273288491661293,0.8267919660954487,0.022246787459118737,0.00020441757408523934,0.0002258042538781467,0.0005430199677938212
11,0.3752137025197347,0.0012962023417154949,0.826694511839317,0.8273241054319805,0.95,0.99,0.05,0.1,0.5,"{'Adam_beta1': 0.95, 'Adam_beta2': 0.99, 'eta': 0.05, 'lamda': 0.1, 'threshold': 0.5}",12,0.8257785148332412,0.8277514165937255,0.8275290215588723,0.8272907357073755,0.8267760066341104,0.8269301639948407,0.017941090599756505,0.00022649734340892343,0.000716971672414893,0.0003361042612880258
