,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_eta,param_gamma,param_lamda,param_threshold,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.721370538075765,0.0010992685953776042,0.842326709867633,0.8428949517391003,0.05,0.95,0.01,0.5,"{'eta': 0.05, 'gamma': 0.95, 'lamda': 0.01, 'threshold': 0.5}",1,0.8420858669614889,0.8464089924909016,0.8450340888151834,0.8444280646795965,0.8398599465585552,0.837847798046803,0.05350410494385626,0.00018250578430196578,0.002119172828663263,0.003659356869146446
1,0.6636966864267985,0.0013359387715657551,0.8379349528577132,0.8387641720102014,0.05,0.8,0.01,0.5,"{'eta': 0.05, 'gamma': 0.8, 'lamda': 0.01, 'threshold': 0.5}",2,0.8342546526626129,0.8386234855115862,0.8384927215772987,0.8393145068411112,0.841057772044596,0.8383545236779067,0.20527840922835341,0.00021104505334352224,0.0028052059744222094,0.00040434015101022635
2,0.5383289655049642,0.001229683558146159,0.8375357022204478,0.8385952627591098,0.05,0.9,0.01,0.5,"{'eta': 0.05, 'gamma': 0.9, 'lamda': 0.01, 'threshold': 0.5}",3,0.8336097291321172,0.8383931450684111,0.8389533812419384,0.8394987791956512,0.8400442274025616,0.837893864013267,0.06083029711819637,0.00038620578437083156,0.0028116380552057132,0.0006706100985082201
3,0.7771874268849691,0.001041094462076823,0.8370443168207364,0.8367988414485478,0.05,0.95,0.01,0.6,"{'eta': 0.05, 'gamma': 0.95, 'lamda': 0.01, 'threshold': 0.6}",4,0.8421779988944168,0.8429538858432764,0.8431914501566243,0.8447966093886765,0.8257624619920759,0.8226460291136908,0.13307036424420607,0.0003236462519343994,0.00798783116583416,0.010035785312419271
4,0.7313458124796549,0.0011924107869466145,0.8348637941095175,0.8344184984136361,0.05,0.8,0.1,0.5,"{'eta': 0.05, 'gamma': 0.8, 'lamda': 0.1, 'threshold': 0.5}",5,0.8299244518149991,0.8368728981434561,0.8371107425833794,0.8334177914958308,0.837556436008477,0.8329648056016216,0.07671237372749201,0.000127705491925513,0.0034974590364365136,0.001745347640709112
5,0.7265820503234863,0.0010932286580403645,0.826694511839317,0.8263720415036553,0.05,0.8,0.1,0.6,"{'eta': 0.05, 'gamma': 0.8, 'lamda': 0.1, 'threshold': 0.6}",6,0.8249493274368896,0.8249873312756254,0.8277132854247282,0.8278435527709955,0.8274209895881324,0.8262852404643449,0.05604672404139411,6.398665884357898e-05,0.0012398159986989497,0.0011676618012000472
6,0.5952331225077311,0.0008796056111653646,0.8234390835662295,0.8242988742360903,0.05,0.9,0.1,0.5,"{'eta': 0.05, 'gamma': 0.9, 'lamda': 0.1, 'threshold': 0.5}",7,0.8299244518149991,0.8368268300548211,0.802837663534181,0.8030589210853643,0.837556436008477,0.8330108715680855,0.10222902689612813,0.00012850287123377055,0.014897205927248462,0.015099494300072866
7,0.8082192738850912,0.0011781056722005208,0.82313196769141,0.8234237234448742,0.05,0.8,0.01,0.6,"{'eta': 0.05, 'gamma': 0.8, 'lamda': 0.01, 'threshold': 0.6}",8,0.8174866408697254,0.8220850416916202,0.8245807997051778,0.8244805823006404,0.8273288491661293,0.8237055463423623,0.03539735338988211,8.227026444129034e-05,0.004146589143737,0.000998072078735645
8,0.8165064652760824,0.0052941640218098955,0.8222720432419152,0.8228094957034907,0.05,0.9,0.01,0.6,"{'eta': 0.05, 'gamma': 0.9, 'lamda': 0.01, 'threshold': 0.6}",9,0.8167495854063018,0.8218086331598102,0.8237516123088262,0.8237895609711153,0.8263153045240947,0.8228302929795467,0.10645867679867438,0.006301100227638731,0.004042879612418141,0.0008088440902172323
9,0.7947424252827963,0.005123694737752278,0.809588157611867,0.8098028934058932,0.05,0.9,0.1,0.6,"{'eta': 0.05, 'gamma': 0.9, 'lamda': 0.1, 'threshold': 0.6}",10,0.824120140040538,0.8245266503892754,0.7786990971070573,0.7791035149951628,0.8259467428360823,0.8257785148332412,0.2140459960962946,0.0058867582742444975,0.021855092726631255,0.021713753970704477
10,0.5146315097808838,0.0013892650604248047,0.8085439636374804,0.8084825422585724,0.01,0.8,0.01,0.6,"{'eta': 0.01, 'gamma': 0.8, 'lamda': 0.01, 'threshold': 0.6}",11,0.8071678643817948,0.8087713640761045,0.8093790307720656,0.8083106831897545,0.8090850456095089,0.8083655795098581,0.07165521413745408,0.00046205401707493895,0.000980445064188445,0.00020545386051723088
11,0.43004703521728516,0.0010135173797607422,0.8067626915635269,0.8073308605570172,0.01,0.9,0.01,0.6,"{'eta': 0.01, 'gamma': 0.9, 'lamda': 0.01, 'threshold': 0.6}",12,0.8063386769854431,0.8080803427465795,0.8073521282476507,0.8068825724420694,0.8065972542154244,0.8070296664824028,0.007306589117425732,0.00021031122558225242,0.00042996433725290054,0.000533355309044331
12,0.5431889692942301,0.0013146400451660156,0.8037222444028131,0.8042136226362895,0.01,0.8,0.01,0.5,"{'eta': 0.01, 'gamma': 0.8, 'lamda': 0.01, 'threshold': 0.5}",13,0.8031140593329648,0.8047634403648593,0.802837663534181,0.8031971253512692,0.8052151478853774,0.80468030219274,0.15032952946599495,0.00023162443696204136,0.001061607537999097,0.0007195730385703494
