,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_gamma,param_lamda,param_threshold,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.3684075673421224,0.0011165142059326172,0.8432787690795738,0.8438623094466204,0.95,0.01,0.5,"{'gamma': 0.95, 'lamda': 0.01, 'threshold': 0.5}",1,0.8426386585590566,0.8439673837932464,0.8424543946932007,0.8450730179204865,0.8447433889247213,0.8425465266261286,0.010979699893622009,0.00013575099715940715,0.001038323583769167,0.0010341083208431955
1,0.3450788656870524,0.0008884270985921224,0.8422345751051872,0.8433555647159775,0.9,0.01,0.5,"{'gamma': 0.9, 'lamda': 0.01, 'threshold': 0.5}",2,0.8408881518334255,0.8439673837932464,0.841901603095633,0.8438291795273415,0.8439141251266932,0.8422701308273448,0.015863715333847884,0.00018107723224563096,0.0012575770451406002,0.0007695886995544727
2,0.34246325492858887,0.0016036828358968098,0.8394705322318111,0.840115491291916,0.8,0.01,0.5,"{'gamma': 0.8, 'lamda': 0.01, 'threshold': 0.5}",3,0.837939929979731,0.8407886856774313,0.8399668325041459,0.8404662090569862,0.8405049295125772,0.8390915791413304,0.010417966901612733,3.7314517671545254e-05,0.0011043925542239806,0.0007358871570066533
3,0.349106232325236,0.0012790362040201824,0.8372592979331102,0.8379656740364488,0.95,0.01,0.6,"{'gamma': 0.95, 'lamda': 0.01, 'threshold': 0.6}",4,0.8353602358577483,0.8381628046252362,0.8365579509858116,0.8383931450684111,0.8398599465585552,0.8373410724156993,0.007766492920799592,0.00016641893873364815,0.0019027530946655019,0.0004515599394858723
4,0.3618892828623454,0.0015266736348470051,0.8359694112588679,0.8364454617736206,0.9,0.01,0.6,"{'gamma': 0.9, 'lamda': 0.01, 'threshold': 0.6}",5,0.8341625207296849,0.8376560556502511,0.835820895522388,0.836596489611646,0.8379249976964895,0.8350838400589644,0.013275491998888599,9.61873124071271e-05,0.0015395989378085468,0.0010555189301661454
5,0.3691098690032959,0.0012334187825520833,0.8335431958477934,0.8344031381397491,0.8,0.01,0.6,"{'gamma': 0.8, 'lamda': 0.01, 'threshold': 0.6}",6,0.8314906946747743,0.835536923573041,0.8336097291321172,0.8344312894458009,0.835529346724408,0.8332412014004054,0.01560351080998585,0.0003822180904258274,0.00164943124162268,0.0009374360228861948
6,0.3583226203918457,0.0012141863505045574,0.8287214766131261,0.8290439467862843,0.95,0.1,0.5,"{'gamma': 0.95, 'lamda': 0.1, 'threshold': 0.5}",7,0.8278975492905841,0.8286727783664256,0.8300165837479271,0.8293177316073157,0.8282502533861605,0.8291413303851115,0.011716631594558422,0.0002724184730130485,0.0009270506594126929,0.00027215662736013526
7,0.3736746311187744,0.0011161963144938152,0.8286293418506803,0.8289825240828849,0.9,0.1,0.5,"{'gamma': 0.9, 'lamda': 0.1, 'threshold': 0.5}",8,0.8284503408881518,0.8299626848482057,0.8290031324857196,0.8279356889482655,0.8284345342301668,0.8290491984521835,0.010039254660822615,0.00023091544729324465,0.0002643947405399659,0.0008288595370485773
8,0.38594961166381836,0.0007962385813395182,0.825988145327232,0.8264488202365996,0.8,0.1,0.5,"{'gamma': 0.8, 'lamda': 0.1, 'threshold': 0.5}",9,0.8255942509673853,0.8276132123278206,0.826147042564953,0.8253558759847054,0.8262231641020916,0.8263773723972729,0.017520755123226588,5.5007505973678195e-05,0.00028026004066355353,0.0009229374976293603
9,0.3380325635274251,0.00095367431640625,0.7973956573815301,0.7977181473468447,0.95,0.1,0.6,"{'gamma': 0.95, 'lamda': 0.1, 'threshold': 0.6}",10,0.7970333517597199,0.7973004100059888,0.7972176156255758,0.799327405905929,0.7979360545471299,0.7965266261286161,0.01967873229986298,0.00022355400421801718,0.000389435657750542,0.0011809516514828566
10,0.37594811121622723,0.0010345776875813801,0.7953379810202389,0.795583686828313,0.9,0.1,0.6,"{'gamma': 0.9, 'lamda': 0.1, 'threshold': 0.6}",11,0.7961120324304404,0.7961026397014789,0.7927952828450341,0.7959183673469388,0.7971067907491016,0.7947300534365211,0.011762698829958918,0.000144485374615532,0.00184329254685545,0.0006082798428620389
11,0.3922853469848633,0.0011467138926188152,0.7946623260956359,0.7950155300051258,0.8,0.1,0.6,"{'gamma': 0.8, 'lamda': 0.1, 'threshold': 0.6}",12,0.7956513727658007,0.7958262311696688,0.7919660954486826,0.7955498226378588,0.7963696673730766,0.7936705362078497,0.01228008476645227,0.0002502499021390902,0.0019289860471960647,0.000957725310357021
